month;% FULL;WTI;Coal;CO2;current TTF_forward
1;62,33;50;77,75;24;22
2;55;51;78,1;21,84;19
3;43,5;55,26;79,5;21,85;19,299
4;31,25;55,55;79,95;21,87;19,068
5;58;55,88;80,55;21,87;19,003
6;66;56,21;81,55;21,9;18,998
7;66,67;56,5;81,55;21,9;18,935
8;76,75;56,71;82,25;21,9;19,01
9;91;56,81;82,8;21,95;19,275
10;89,33;56,82;83,15;21,95;20,277
11;88;56,76;83,75;21,95;21,777
12;83;56,65;83,9;21,99;22,217
1;62,33;56,5;83,95;21,99;22,376
2;55;56,34;84;21,99;22,451
3;43,5;56,19;83,6;22,12;22,061
4;31,25;56,05;83,45;22,12;20,498
5;58;55,94;83,15;22,12;19,073
6;66;55,83;83;22,21;18,698
7;66,67;55,71;82,6;22,21;18,718
8;76,75;55,6;82,55;22,21;18,878
9;91;55,51;82,65;22,3;19,453
10;89,33;55,43;82,65;22,3;20,148
11;88;55,37;82,85;22,3;20,873
12;83;55,32;82,65;22,39;21,138
